fiction_id,title,overview,language,release_date,latest_update,tags,genres,chapter
1,Kejahatan Cinta,"Seorang detektif swasta, Anya, sedang menyelidiki kasus pembunuhan seorang pengusaha kaya. Dalam penyelidikannya, ia bertemu dengan seorang pria misterius, Dimas, yang juga tertarik dengan kasus tersebut. Anya dan Dimas bekerja sama untuk mengungkap misteri pembunuhan tersebut, dan dalam prosesnya, mereka mulai jatuh cinta.",Indonesia,2023-10-01,2023-10-06,"detektif,pembunuhan,misteri,cinta,romansa","romansa,misteri",2
2,Raja Terakhir,"Di dunia yang dikuasai oleh iblis, seorang pemuda yang tidak menyadari kekuatannya harus menyelamatkan dunia dari kehancuran.",Indonesia,2023-10-02,2023-10-02,"fantasi,aksi,petualangan,pertarungan,kekuatan","fantasi,aksi",1
3,Perjalanan ke Masa Depan,Seorang ilmuwan muda menemukan cara untuk melakukan perjalanan ke masa depan dan harus menghentikan bencana yang akan terjadi.,Indonesia,2023-10-03,2023-10-03,"fiksi ilmiah,petualangan,perjalanan waktu,misteri,teknologi","sci-fi,petualangan",1
4,Cinta di Balik Tirai,"Dua orang yang berasal dari latar belakang yang berbeda saling jatuh cinta, tetapi hubungan mereka harus disembunyikan dari dunia luar.",Indonesia,2023-10-04,2023-10-04,"romansa,drama,perbedaan latar belakang,rahasia,cinta terlarang","romansa,drama",1
5,Pewaris Sang Dewa,Seorang pemuda yang terpilih sebagai pewaris sang dewa harus menghadapi banyak tantangan untuk memenuhi takdirnya.,Indonesia,2023-10-05,2023-10-05,"fantasi,aksi,petualangan,dewa,takdir","fantasi,aksi",1
6,Legenda Tanah Jawa,"Seorang pemuda yang hidup di masa kini menemukan kekuatan misterius yang membawanya kembali ke masa lalu, ke zaman legenda Jawa.",Indonesia,2023-10-06,2023-10-06,"antasi,aksi,petualangan,sejarah,legenda","sci-fi,petualangan",1
7,Reinkarnasi,"Seorang wanita yang meninggal dalam kecelakaan lalu lintas terlahir kembali sebagai anak perempuan dari keluarga kaya. Ia harus menyesuaikan diri dengan kehidupan barunya, dan ia harus menemukan cara untuk mengungkap kebenaran tentang kematiannya di masa lalu.",Indonesia,2023-10-07,2023-10-07,"reinkarnasi,keluarga,cinta,kehilangan","fantasi,drama",1
8,Penyelamat Dunia,Seorang remaja yang memiliki kekuatan super harus menyelamatkan dunia dari alien yang menyerang.,Indonesia,2023-10-08,2023-10-08,"sci-fi,aksi,petualangan,alien, penyelamatan dunia","sci-fi,petualangan",1
9,Cinta Tak Terduga,Dua orang yang awalnya tidak menyukai satu sama lain akhirnya jatuh cinta.,Indonesia,2023-10-09,2023-10-09,"romansa,komedi,persahabatan,sekolah","romansa,komedi",1
10,Kisah Cinta yang Tak Terlupakan,Sepasang kekasih yang harus terpisah karena suatu hal akhirnya bertemu kembali setelah bertahun-tahun.,Indonesia,2023-10-10,2023-10-13,"romansa,drama,cinta pertama,reuni","romansa,drama",1
